title,sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,buy_price,house_type_id,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,Neighborhood_code,Neighborhood_name,District_code,District_name
"Piso en venta en calle de Godella, 64",64.0,2,1,3,471,85000,Pisos,False,False,True,False,False,True,False,False,False,False,False,False,False,D,False,135, San Cristóbal,21, Villaverde
Piso en venta en calle de la del Manojo de Rosas,70.0,3,1,4,666,129900,Pisos,True,False,False,True,True,True,False,False,True,False,False,False,False,en trámite,False,132, Los Ángeles,21, Villaverde
"Piso en venta en calle del Talco, 68",94.0,2,2,1,722,144247,Pisos,False,False,False,True,True,True,False,False,False,False,True,False,False,no indicado,False,134, San Andrés,21, Villaverde
Piso en venta en calle Pedro Jiménez,64.0,2,1,Bajo,583,109900,Pisos,False,False,False,False,True,True,False,False,False,False,True,True,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en carretera de Villaverde a Vallecas,108.0,2,2,4,1094,260000,Pisos,False,False,True,True,True,True,False,True,False,False,True,False,True,en trámite,True,133, Los Rosales,21, Villaverde
Piso en venta en geologia,126.0,4,2,3,901,195000,Pisos,False,False,False,False,False,True,False,False,True,True,False,True,False,en trámite,True,134, San Andrés,21, Villaverde
Piso en venta en avenida Real de Pinto,120.0,5,2,1,884,190000,Pisos,False,False,True,True,False,True,False,True,True,True,True,False,True,F,True,134, San Andrés,21, Villaverde
Piso en venta en San Andrés,125.0,3,2,2,912,198500,Pisos,False,False,True,True,False,True,False,False,True,False,False,False,False,no indicado,False,134, San Andrés,21, Villaverde
Piso en venta en Butarque,84.0,3,2,Otro,954,212000,Pisos,False,False,True,True,True,True,False,True,False,False,True,True,True,F,True,131, Butarque,21, Villaverde
Piso en venta en calle de Martinez Oviol,85.0,2,1,7,672,131400,Pisos,True,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,133, Los Rosales,21, Villaverde
Piso en venta en De la Plata - Villaverde,69.0,2,2,2,617,118000,Pisos,True,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en Butarque,122.0,3,2,6,1058,246900,Pisos,False,False,True,True,True,False,False,True,False,False,True,False,True,E,True,131, Butarque,21, Villaverde
"Piso en venta en calle de la Unanimidad, 67",123.0,3,2,4,901,195000,Pisos,False,False,True,True,True,True,False,False,False,False,False,False,False,D,False,133, Los Rosales,21, Villaverde
"Piso en venta en calle de Anoeta, 63",109.0,3,2,3,933,205000,Pisos,False,False,False,True,True,True,False,False,True,False,True,False,False,E,False,132, Los Ángeles,21, Villaverde
Piso en venta en calle GODELLA,64.0,3,1,3,408,72000,Pisos,False,False,False,False,False,True,False,False,True,False,False,False,False,F,False,135, San Cristóbal,21, Villaverde
Piso en venta en calle San Macario,115.0,3,1,3,780,160000,Pisos,False,False,True,False,False,True,False,False,True,False,True,False,False,en trámite,False,133, Los Rosales,21, Villaverde
Piso en venta en Los Rosales,115.0,3,1,1,867,184900,Pisos,False,False,True,False,False,True,False,False,True,False,False,False,False,en trámite,False,133, Los Rosales,21, Villaverde
Piso en venta en Los Ángeles,65.0,3,1,4,494,90000,Pisos,False,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,132, Los Ángeles,21, Villaverde
Piso en venta en San Andrés,75.0,3,1,3,666,129900,Pisos,True,False,False,False,True,True,False,False,True,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en San Cristóbal,60.0,2,1,Bajo,516,94900,Pisos,False,False,True,True,False,True,False,False,False,False,False,False,False,en trámite,False,135, San Cristóbal,21, Villaverde
Piso en venta en San Andrés,60.0,2,1,2,493,89900,Pisos,False,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en Los Ángeles,95.0,4,2,4,724,144900,Pisos,False,False,True,False,False,True,False,False,False,False,False,False,False,en trámite,False,132, Los Ángeles,21, Villaverde
Piso en venta en San Andrés,76.0,3,1,2,583,110000,Pisos,True,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en camino Leganés,51.0,2,1,Otro,508,93000,Pisos,False,False,False,False,False,False,False,False,False,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en calle de las Islas,134.0,3,2,2,666,130000,Pisos,False,False,False,False,True,False,False,False,False,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en calle de Parvillas Bajas,62.0,2,1,2,557,104000,Pisos,False,False,False,False,False,True,False,False,True,False,False,False,False,en trámite,False,134, San Andrés,21, Villaverde
Piso en venta en COBALTO s/n,75.0,3,1,3,698,138000,Pisos,False,False,True,True,False,True,False,False,True,False,False,False,False,inmueble exento,True,134, San Andrés,21, Villaverde
Piso en venta en Butarque,112.0,4,2,2,1148,280000,Pisos,False,False,False,True,True,True,False,True,False,False,True,True,True,B,True,131, Butarque,21, Villaverde
