sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
64.0,2,1,3,85000,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
70.0,3,1,4,129900,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
94.0,2,2,1,144247,1,False,False,True,True,True,False,False,False,False,True,False,False,False,21
64.0,2,1,10,109900,1,False,False,False,True,True,False,False,False,False,True,True,False,False,21
108.0,2,2,4,260000,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
126.0,4,2,3,195000,1,False,False,False,False,True,False,False,True,True,False,True,False,True,21
120.0,5,2,1,190000,1,False,True,True,False,True,False,True,True,True,True,False,True,True,21
125.0,3,2,2,198500,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
84.0,3,2,11,212000,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
85.0,2,1,7,131400,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
69.0,2,2,2,118000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
122.0,3,2,6,246900,1,False,True,True,True,False,False,True,False,False,True,False,True,True,21
123.0,3,2,4,195000,1,False,True,True,True,True,False,False,False,False,False,False,False,False,21
109.0,3,2,3,205000,1,False,False,True,True,True,False,False,True,False,True,False,False,False,21
64.0,3,1,3,72000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
115.0,3,1,3,160000,1,False,True,False,False,True,False,False,True,False,True,False,False,False,21
115.0,3,1,1,184900,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
65.0,3,1,4,90000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
75.0,3,1,3,129900,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
60.0,2,1,10,94900,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
60.0,2,1,2,89900,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
95.0,4,2,4,144900,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
76.0,3,1,2,110000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
51.0,2,1,11,93000,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
134.0,3,2,2,130000,1,False,False,False,True,False,False,False,False,False,False,False,False,False,21
62.0,2,1,2,104000,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
75.0,3,1,3,138000,1,False,True,True,False,True,False,False,True,False,False,False,False,True,21
112.0,4,2,2,280000,1,False,False,True,True,True,False,True,False,False,True,True,True,True,21
65.0,3,1,1,150000,1,False,False,True,True,True,False,True,False,False,False,False,False,False,21
70.0,2,1,3,145900,1,False,True,True,False,True,False,False,True,True,False,False,False,False,21
75.0,1,1,1,92500,1,False,True,True,True,True,False,False,False,True,False,True,False,False,21
123.0,3,2,7,298000,1,False,True,True,True,True,False,True,False,False,True,False,False,True,21
61.0,3,1,2,99900,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
72.0,2,1,3,138000,1,False,True,True,False,True,False,False,False,True,False,False,False,True,21
61.0,3,1,5,100000,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
71.0,3,1,1,131400,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
87.0,3,1,2,96000,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
60.0,2,1,11,154000,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
78.0,4,1,2,146700,1,False,False,True,True,True,False,False,False,False,False,True,False,False,21
52.0,1,1,1,92500,1,False,True,False,False,False,False,False,False,False,False,False,False,False,21
125.0,3,3,7,275000,2,False,True,False,True,True,False,True,True,False,True,False,False,False,21
97.0,2,2,10,266122,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
93.0,2,2,7,228273,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,4,2,1,171900,1,False,False,False,True,True,False,False,False,False,True,False,False,False,21
83.0,2,2,7,228273,3,False,True,True,True,True,False,True,True,False,True,True,True,True,21
45.0,2,1,1,85000,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
120.0,3,2,7,298000,1,False,True,True,True,False,False,True,False,False,True,False,False,True,21
74.0,3,1,1,139000,1,False,False,True,False,True,False,False,False,False,True,False,False,False,21
125.0,3,2,7,272500,2,False,False,True,True,True,False,True,True,False,True,False,True,False,21
126.0,4,2,10,275000,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
158.0,3,2,4,289000,3,False,True,True,True,True,False,True,True,False,True,False,True,True,21
65.0,2,1,11,115000,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
108.0,3,2,4,179000,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
62.0,2,1,10,123000,1,False,True,False,True,True,False,False,False,False,False,False,False,False,21
51.0,2,1,3,89500,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
112.0,3,2,3,289000,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
109.0,3,2,2,216278,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
107.0,3,2,1,207503,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,3,162793,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
105.0,3,2,1,204999,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
109.0,3,2,4,220879,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
108.0,3,2,4,218258,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
109.0,3,2,10,231855,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,4,163397,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
76.0,2,2,2,160759,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
108.0,3,2,3,217169,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,5,165208,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
109.0,3,2,3,219775,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
108.0,3,2,10,230817,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
108.0,3,2,2,213722,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
111.0,2,2,6,230749,3,True,False,False,True,True,False,True,True,False,True,False,False,True,21
115.0,3,2,2,233789,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
115.0,3,2,1,230789,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
117.0,3,2,1,244171,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
117.0,3,2,1,243468,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
