sq_mt_built,n_rooms,n_bathrooms,floor,rent_price,house_type_id,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,District_code
64.0,2,1,3,471,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
70.0,3,1,4,666,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
94.0,2,2,1,722,1,False,False,True,True,True,False,False,False,False,True,False,False,False,21
64.0,2,1,10,583,1,False,False,False,True,True,False,False,False,False,True,True,False,False,21
108.0,2,2,4,1094,1,False,True,True,True,True,False,True,False,False,True,False,True,True,21
126.0,4,2,3,901,1,False,False,False,False,True,False,False,True,True,False,True,False,True,21
120.0,5,2,1,884,1,False,True,True,False,True,False,True,True,True,True,False,True,True,21
125.0,3,2,2,912,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
84.0,3,2,11,954,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
85.0,2,1,7,672,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
69.0,2,2,2,617,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
122.0,3,2,6,1058,1,False,True,True,True,False,False,True,False,False,True,False,True,True,21
123.0,3,2,4,901,1,False,True,True,True,True,False,False,False,False,False,False,False,False,21
109.0,3,2,3,933,1,False,False,True,True,True,False,False,True,False,True,False,False,False,21
64.0,3,1,3,408,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
115.0,3,1,3,780,1,False,True,False,False,True,False,False,True,False,True,False,False,False,21
115.0,3,1,1,867,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
65.0,3,1,4,494,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
75.0,3,1,3,666,1,False,False,False,True,True,False,False,True,False,False,False,False,False,21
60.0,2,1,10,516,1,False,True,True,False,True,False,False,False,False,False,False,False,False,21
60.0,2,1,2,493,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
95.0,4,2,4,724,1,False,True,False,False,True,False,False,False,False,False,False,False,False,21
76.0,3,1,2,583,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
51.0,2,1,11,508,1,False,False,False,False,False,False,False,False,False,False,False,False,False,21
134.0,3,2,2,666,1,False,False,False,True,False,False,False,False,False,False,False,False,False,21
62.0,2,1,2,557,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
75.0,3,1,3,698,1,False,True,True,False,True,False,False,True,False,False,False,False,True,21
112.0,4,2,2,1148,1,False,False,True,True,True,False,True,False,False,True,True,True,True,21
65.0,3,1,1,744,1,False,False,True,True,True,False,True,False,False,False,False,False,False,21
70.0,2,1,3,728,1,False,True,True,False,True,False,False,True,True,False,False,False,False,21
75.0,1,1,1,505,1,False,True,True,True,True,False,False,False,True,False,True,False,False,21
123.0,3,2,7,1195,1,False,True,True,True,True,False,True,False,False,True,False,False,True,21
61.0,3,1,2,539,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
72.0,2,1,3,698,1,False,True,True,False,True,False,False,False,True,False,False,False,True,21
61.0,3,1,5,539,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
71.0,3,1,1,672,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
87.0,3,1,2,521,1,False,True,False,False,True,False,False,True,False,False,False,False,False,21
60.0,2,1,11,758,1,False,True,True,False,True,False,False,True,False,False,False,False,False,21
78.0,4,1,2,731,1,False,False,True,True,True,False,False,False,False,False,True,False,False,21
52.0,1,1,1,505,1,False,True,False,False,False,False,False,False,False,False,False,False,False,21
125.0,3,3,7,1135,2,False,True,False,True,True,False,True,True,False,True,False,False,False,21
97.0,2,2,10,1111,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
93.0,2,2,7,1004,1,True,False,False,True,True,False,True,True,False,False,False,True,False,21
103.0,4,2,1,823,1,False,False,False,True,True,False,False,False,False,True,False,False,False,21
83.0,2,2,7,1004,3,False,True,True,True,True,False,True,True,False,True,True,True,True,21
45.0,2,1,1,471,1,False,False,False,False,True,False,False,False,True,False,False,False,False,21
120.0,3,2,7,1195,1,False,True,True,True,False,False,True,False,False,True,False,False,True,21
74.0,3,1,1,702,1,False,False,True,False,True,False,False,False,False,True,False,False,False,21
125.0,3,2,7,1128,2,False,False,True,True,True,False,True,True,False,True,False,True,False,21
126.0,4,2,10,1135,1,False,True,True,True,True,False,True,True,False,True,True,True,True,21
158.0,3,2,4,1172,3,False,True,True,True,True,False,True,True,False,True,False,True,True,21
65.0,2,1,11,604,1,False,False,False,False,True,False,False,False,False,False,False,False,False,21
108.0,3,2,4,847,1,False,False,True,True,True,False,False,True,False,False,False,False,False,21
62.0,2,1,10,638,1,False,True,False,True,True,False,False,False,False,False,False,False,False,21
51.0,2,1,3,492,1,False,False,False,False,True,False,False,True,False,False,False,False,False,21
112.0,3,2,3,1172,1,False,True,True,True,True,False,True,False,False,True,True,True,True,21
109.0,3,2,2,968,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
107.0,3,2,1,940,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,3,790,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
105.0,3,2,1,933,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
109.0,3,2,4,982,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
108.0,3,2,4,974,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
109.0,3,2,10,1014,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,4,793,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
76.0,2,2,2,783,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
108.0,3,2,3,970,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
76.0,2,2,5,799,1,True,False,False,True,True,False,True,False,False,True,False,False,True,21
109.0,3,2,3,978,1,True,False,False,True,True,False,True,True,False,True,False,False,True,21
